seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	10057136	10057283	148	*	X000792	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057374	10057705	332	*	X000793	116362	10057255	10076078	18824	+	0	inside	118	RBP7
chr1	11537474	11537608	135	*	X000881	57540	11539295	11597640	58346	+	1686	upstream	1686	DISP3
chr1	11538116	11538250	135	*	X000882	57540	11539295	11597640	58346	+	1044	upstream	1044	DISP3
chr1	11538731	11538812	82	*	X000883	57540	11539295	11597640	58346	+	482	upstream	482	DISP3
chr1	11751069	11751458	390	*	X000964	374946	11751781	11780336	28556	+	322	upstream	322	DRAXIN
chr1	11751069	11751458	390	*	X000964	10459	11734537	11751678	17142	-	0	inside	219	MAD2L2
chr1	11751810	11752242	433	*	X000965	374946	11751781	11780336	28556	+	0	inside	28	DRAXIN
chr1	11751810	11752242	433	*	X000965	10459	11734537	11751678	17142	-	131	upstream	131	MAD2L2
chr1	11752648	11752812	165	*	X000966	10459	11734537	11751678	17142	-	969	upstream	969	MAD2L2
chr1	11752964	11753157	194	*	X000967	10459	11734537	11751678	17142	-	1285	upstream	1285	MAD2L2
chr1	11753608	11754057	450	*	X000968	10459	11734537	11751678	17142	-	1929	upstream	1929	MAD2L2
chr1	11919159	11919473	315	*	X000980	4879	11917521	11918992	1472	-	166	upstream	166	NPPB
chr1	11920914	11921093	180	*	X000981	4879	11917521	11918992	1472	-	1921	upstream	1921	NPPB
chr1	12122878	12122889	12	*	X000997	943	12123434	12204264	80831	+	544	upstream	544	TNFRSF8
chr1	12122984	12123418	435	*	X000998	943	12123434	12204264	80831	+	15	upstream	15	TNFRSF8
chr1	12123704	12124003	300	*	X000999	943	12123434	12204264	80831	+	0	inside	269	TNFRSF8
chr1	12227040	12227260	221	*	X001007	7133	12227060	12269277	42218	+	0	overlapStart	0	TNFRSF1B
chr1	12834995	12835121	127	*	X001034	390999	12834984	12838048	3065	+	0	inside	10	PRAMEF12
chr1	13839982	13839997	16	*	X001071	126755	13801445	13840242	38798	-	0	inside	244	LRRC38
chr1	13840291	13840608	318	*	X001072	126755	13801445	13840242	38798	-	48	upstream	48	LRRC38
chr1	13840672	13840821	150	*	X001073	126755	13801445	13840242	38798	-	429	upstream	429	LRRC38
chr1	13841029	13841148	120	*	X001074	126755	13801445	13840242	38798	-	786	upstream	786	LRRC38
chr1	13841602	13841808	207	*	X001075	126755	13801445	13840242	38798	-	1359	upstream	1359	LRRC38
chr1	13910172	13910456	285	*	X001088	10630	13910252	13944452	34201	+	0	overlapStart	0	PDPN
chr1	18432522	18432731	210	*	X001344	84966	18434240	18704977	270738	+	1508	upstream	1508	IGSF21
chr1	18432972	18433150	179	*	X001345	84966	18434240	18704977	270738	+	1089	upstream	1089	IGSF21
chr1	18433872	18434116	245	*	X001346	84966	18434240	18704977	270738	+	123	upstream	123	IGSF21
chr1	18957241	18957442	202	*	X001563	5081	18957500	19075360	117861	+	57	upstream	57	PAX7
chr1	18957515	18957649	135	*	X001564	5081	18957500	19075360	117861	+	0	inside	14	PAX7
chr1	18957653	18957757	105	*	X001565	5081	18957500	19075360	117861	+	0	inside	152	PAX7
chr1	18957788	18958129	342	*	X001566	5081	18957500	19075360	117861	+	0	inside	287	PAX7
chr1	19989756	19989890	135	*	X001618	3362	19991780	20006055	14276	+	1889	upstream	1889	HTR6
chr1	19991151	19991307	157	*	X001619	3362	19991780	20006055	14276	+	472	upstream	472	HTR6
chr1	19991612	19992230	619	*	X001620	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20445808	20445927	120	*	X001658	26279	20439143	20446059	6917	-	0	inside	131	PLA2G2D
chr1	20447568	20447687	120	*	X001659	26279	20439143	20446059	6917	-	1508	upstream	1508	PLA2G2D
chr1	20615752	20615901	150	*	X001678	127731	20617412	20681387	63976	+	1510	upstream	1510	VWA5B1
chr1	20616037	20616216	180	*	X001679	127731	20617412	20681387	63976	+	1195	upstream	1195	VWA5B1
chr1	22470580	22470699	120	*	X001713	54361	22443798	22470385	26588	-	194	upstream	194	WNT4
chr1	22470921	22471025	105	*	X001714	54361	22443798	22470385	26588	-	535	upstream	535	WNT4
chr1	22889455	22889574	120	*	X001813	2046	22890004	22930087	40084	+	429	upstream	429	EPHA8
chr1	22889665	22889826	162	*	X001814	2046	22890004	22930087	40084	+	177	upstream	177	EPHA8
chr1	22890282	22891272	991	*	X001815	2046	22890004	22930087	40084	+	0	inside	277	EPHA8
chr1	22961490	22961533	44	*	X001874	712	22963118	22966175	3058	+	1584	upstream	1584	C1QA
chr1	22963178	22963418	241	*	X001875	712	22963118	22966175	3058	+	0	inside	59	C1QA
chr1	22967969	22968269	301	*	X001876	714	22970118	22974603	4486	+	1848	upstream	1848	C1QC
chr1	22968398	22968519	122	*	X001877	714	22970118	22974603	4486	+	1598	upstream	1598	C1QC
chr1	25944142	25944257	116	*	X001909	57134	25943959	26111258	167300	+	0	inside	182	MAN1C1
chr1	26371859	26372348	490	*	X001920	7780	26364514	26372604	8091	-	0	inside	255	SLC30A2
chr1	26372394	26372633	240	*	X001921	7780	26364514	26372604	8091	-	0	overlapStart	0	SLC30A2
chr1	26372784	26372903	120	*	X001922	7780	26364514	26372604	8091	-	179	upstream	179	SLC30A2
chr1	26373074	26373518	445	*	X001923	7780	26364514	26372604	8091	-	469	upstream	469	SLC30A2
chr1	29136777	29136926	150	*	X001926	4985	29138654	29190208	51555	+	1727	upstream	1727	OPRD1
chr1	29136942	29137076	135	*	X001927	4985	29138654	29190208	51555	+	1577	upstream	1577	OPRD1
chr1	29137122	29137406	285	*	X001928	4985	29138654	29190208	51555	+	1247	upstream	1247	OPRD1
chr1	29138382	29138636	255	*	X001929	4985	29138654	29190208	51555	+	17	upstream	17	OPRD1
chr1	31712799	31713008	210	*	X002161	79570	31652592	31712734	60143	-	64	upstream	64	NKAIN1
chr1	32082763	32082897	135	*	X002163	3061	32083301	32098119	14819	+	403	upstream	403	HCRTR1
chr1	32082928	32083133	206	*	X002164	3061	32083301	32098119	14819	+	167	upstream	167	HCRTR1
chr1	32930769	32931263	495	*	X002165	653121	32930658	33071542	140885	+	0	inside	110	ZBTB8A
chr1	32930769	32931263	495	*	X002165	728116	32930658	32953459	22802	+	0	inside	110	ZBTB8B
chr1	33648219	33648548	330	*	X002171	55223	33611003	33647671	36669	-	547	upstream	547	TRIM62
chr1	33648995	33649114	120	*	X002172	55223	33611003	33647671	36669	-	1323	upstream	1323	TRIM62
chr1	34630882	34631121	240	*	X002290	84970	34632624	34684731	52108	+	1502	upstream	1502	C1orf94
chr1	34631347	34631486	140	*	X002291	84970	34632624	34684731	52108	+	1137	upstream	1137	C1orf94
chr1	34631347	34631486	140	*	X002291	114784	33979609	34631443	651835	-	0	overlapStart	0	CSMD2
chr1	34631605	34631876	272	*	X002292	84970	34632624	34684731	52108	+	747	upstream	747	C1orf94
chr1	34631605	34631876	272	*	X002292	114784	33979609	34631443	651835	-	161	upstream	161	CSMD2
chr1	34631947	34632066	120	*	X002293	84970	34632624	34684731	52108	+	557	upstream	557	C1orf94
chr1	34631947	34632066	120	*	X002293	114784	33979609	34631443	651835	-	503	upstream	503	CSMD2
chr1	34632127	34632611	485	*	X002294	84970	34632624	34684731	52108	+	12	upstream	12	C1orf94
chr1	34632127	34632611	485	*	X002294	114784	33979609	34631443	651835	-	683	upstream	683	CSMD2
chr1	34632742	34632921	180	*	X002295	84970	34632624	34684731	52108	+	0	inside	117	C1orf94
chr1	34632742	34632921	180	*	X002295	114784	33979609	34631443	651835	-	1298	upstream	1298	CSMD2
chr1	34633098	34633221	124	*	X002296	114784	33979609	34631443	651835	-	1654	upstream	1654	CSMD2
chr1	37499455	37499574	120	*	X002699	2899	37261128	37499844	238717	-	0	inside	269	GRIK3
chr1	37500244	37500249	6	*	X002700	2899	37261128	37499844	238717	-	399	upstream	399	GRIK3
chr1	37500265	37500414	150	*	X002701	2899	37261128	37499844	238717	-	420	upstream	420	GRIK3
chr1	37500701	37500940	240	*	X002702	2899	37261128	37499844	238717	-	856	upstream	856	GRIK3
chr1	37500986	37501102	117	*	X002703	2899	37261128	37499844	238717	-	1141	upstream	1141	GRIK3
chr1	37501321	37501404	84	*	X002704	2899	37261128	37499844	238717	-	1476	upstream	1476	GRIK3
chr1	37501481	37501615	135	*	X002705	2899	37261128	37499844	238717	-	1636	upstream	1636	GRIK3
chr1	38230106	38230600	495	*	X002881	284656	38179553	38230824	51272	-	0	inside	223	EPHA10
chr1	38230912	38231365	454	*	X002882	284656	38179553	38230824	51272	-	87	upstream	87	EPHA10
chr1	38231437	38231449	13	*	X002883	284656	38179553	38230824	51272	-	612	upstream	612	EPHA10
chr1	38231538	38231680	143	*	X002884	284656	38179553	38230824	51272	-	713	upstream	713	EPHA10
chr1	38231812	38232115	304	*	X002885	284656	38179553	38230824	51272	-	987	upstream	987	EPHA10
chr1	38232461	38232640	180	*	X002886	284656	38179553	38230824	51272	-	1636	upstream	1636	EPHA10
chr1	38512996	38513114	119	*	X002896	5453	38509523	38512450	2928	-	545	upstream	545	POU3F1
chr1	38513301	38513405	105	*	X002897	5453	38509523	38512450	2928	-	850	upstream	850	POU3F1
chr1	38513436	38513690	255	*	X002898	5453	38509523	38512450	2928	-	985	upstream	985	POU3F1
chr1	38680580	38680744	165	*	X002942	339442	38674706	38680439	5734	-	140	upstream	140	LINC01343
chr1	38680820	38680835	16	*	X002943	339442	38674706	38680439	5734	-	380	upstream	380	LINC01343
chr1	38680916	38680954	39	*	X002944	339442	38674706	38680439	5734	-	476	upstream	476	LINC01343
chr1	40137300	40137577	278	*	X003157	84618	40124793	40137710	12918	-	0	inside	132	NT5C1A
chr1	40137729	40138150	422	*	X003158	84618	40124793	40137710	12918	-	18	upstream	18	NT5C1A
chr1	40156758	40156957	200	*	X003162	51440	40144645	40157089	12445	-	0	inside	131	HPCAL4
chr1	40157260	40157340	81	*	X003163	51440	40144645	40157089	12445	-	170	upstream	170	HPCAL4
chr1	40157401	40157985	585	*	X003164	51440	40144645	40157089	12445	-	311	upstream	311	HPCAL4
chr1	40158138	40158482	345	*	X003165	51440	40144645	40157089	12445	-	1048	upstream	1048	HPCAL4
chr1	40368819	40368983	165	*	X003175	4610	40361096	40367687	6592	-	1131	upstream	1131	MYCL
chr1	45672677	45672750	74	*	X003225	57643	45482076	45672250	190175	-	426	upstream	426	ZSWIM5
chr1	45672778	45672897	120	*	X003226	57643	45482076	45672250	190175	-	527	upstream	527	ZSWIM5
chr1	45956267	45956603	337	*	X003228	10420	45809555	45956840	147286	-	0	inside	236	TESK2
chr1	47697586	47697801	216	*	X003282	6886	47681963	47697892	15930	-	0	inside	90	TAL1
chr1	47697811	47697817	7	*	X003283	6886	47681963	47697892	15930	-	0	inside	74	TAL1
chr1	47697977	47698080	104	*	X003284	6886	47681963	47697892	15930	-	84	upstream	84	TAL1
chr1	47698141	47698500	360	*	X003285	6886	47681963	47697892	15930	-	248	upstream	248	TAL1
chr1	47699857	47699969	113	*	X003286	6886	47681963	47697892	15930	-	1964	upstream	1964	TAL1
chr1	48462152	48462899	748	*	X003319	388630	48226200	48462562	236363	-	0	overlapStart	0	TRABD2B
chr1	48464282	48464371	90	*	X003320	388630	48226200	48462562	236363	-	1719	upstream	1719	TRABD2B
chr1	48464507	48464641	135	*	X003321	388630	48226200	48462562	236363	-	1944	upstream	1944	TRABD2B
chr1	50513663	50514203	541	*	X003379	1996	50513686	50667540	153855	+	0	overlapStart	0	ELAVL4
chr1	50889272	50889421	150	*	X003419	63950	50883223	50889119	5897	-	152	upstream	152	DMRTA2
chr1	53099110	53099859	750	*	X003420	348378	53099066	53135339	36274	+	0	inside	43	SHISAL2A
chr1	55445879	55446013	135	*	X003449	199964	55446465	55457966	11502	+	451	upstream	451	TMEM61
chr1	55505277	55505411	135	*	X003450	255738	55505149	55530526	25378	+	0	inside	127	PCSK9
chr1	60279293	60279427	135	*	X003538	51361	60280463	60342050	61588	+	1035	upstream	1035	HOOK1
chr1	60280118	60280272	155	*	X003539	51361	60280463	60342050	61588	+	190	upstream	190	HOOK1
chr1	60280710	60280822	113	*	X003540	51361	60280463	60342050	61588	+	0	inside	246	HOOK1
chr1	60392024	60392173	150	*	X003543	1573	60358980	60392423	33444	-	0	inside	249	CYP2J2
chr1	60392384	60392548	165	*	X003544	1573	60358980	60392423	33444	-	0	overlapStart	0	CYP2J2
chr1	60539197	60539331	135	*	X003548	127795	60454824	60539442	84619	-	0	inside	110	C1orf87
chr1	60539420	60539569	150	*	X003549	127795	60454824	60539442	84619	-	0	overlapStart	0	C1orf87
chr1	60539617	60539751	135	*	X003550	127795	60454824	60539442	84619	-	174	upstream	174	C1orf87
chr1	60540697	60540831	135	*	X003551	127795	60454824	60539442	84619	-	1254	upstream	1254	C1orf87
chr1	60541417	60541536	120	*	X003552	127795	60454824	60539442	84619	-	1974	upstream	1974	C1orf87
chr1	62784595	62784864	270	*	X003584	163782	62701837	62785083	83247	-	0	inside	218	KANK4
chr1	62785135	62785254	120	*	X003585	163782	62701837	62785083	83247	-	51	upstream	51	KANK4
chr1	64935539	64935696	158	*	X003663	57685	64936476	65158741	222266	+	779	upstream	779	CACHD1
chr1	64936577	64937116	540	*	X003664	57685	64936476	65158741	222266	+	0	inside	100	CACHD1
chr1	65612559	65612723	165	*	X003668	205	65613232	65697828	84597	+	508	upstream	508	AK4
chr1	67773221	67773592	372	*	X003710	3595	67773047	67862583	89537	+	0	inside	173	IL12RB2
chr1	68697898	68698092	195	*	X003717	79971	68564142	68698284	134143	-	0	inside	191	WLS
chr1	68698334	68698362	29	*	X003718	79971	68564142	68698284	134143	-	49	upstream	49	WLS
chr1	68698138	68698223	86	*	X003719	79971	68564142	68698284	134143	-	0	inside	60	WLS
chr1	68698468	68698617	150	*	X003720	79971	68564142	68698284	134143	-	183	upstream	183	WLS
chr1	68700118	68700252	135	*	X003721	79971	68564142	68698284	134143	-	1833	upstream	1833	WLS
chr1	70032665	70032859	195	*	X003733	57554	70032868	70589171	556304	+	8	upstream	8	LRRC7
chr1	70032950	70033039	90	*	X003734	57554	70032868	70589171	556304	+	0	inside	81	LRRC7
chr1	71513207	71513671	465	*	X003754	5733	71318036	71513491	195456	-	0	overlapStart	0	PTGER3
chr1	71514029	71514178	150	*	X003755	5733	71318036	71513491	195456	-	537	upstream	537	PTGER3
chr1	72748120	72748239	120	*	X003759	257194	71868625	72748405	879781	-	0	inside	165	NEGR1
chr1	72748984	72749069	86	*	X003760	257194	71868625	72748405	879781	-	578	upstream	578	NEGR1
chr1	72749190	72749339	150	*	X003761	257194	71868625	72748405	879781	-	784	upstream	784	NEGR1
chr1	72749452	72749549	98	*	X003762	257194	71868625	72748405	879781	-	1046	upstream	1046	NEGR1
chr1	72749629	72749763	135	*	X003763	257194	71868625	72748405	879781	-	1223	upstream	1223	NEGR1
chr1	72749899	72750048	150	*	X003764	257194	71868625	72748405	879781	-	1493	upstream	1493	NEGR1
chr1	72750270	72750404	135	*	X003765	257194	71868625	72748405	879781	-	1864	upstream	1864	NEGR1
chr1	75138949	75139128	180	*	X003778	127254	75033795	75139422	105628	-	0	inside	293	ERICH3
chr1	75139219	75139421	203	*	X003779	127254	75033795	75139422	105628	-	0	inside	0	ERICH3
chr1	77333051	77333309	259	*	X003823	81849	77333186	77529737	196552	+	0	overlapStart	0	ST6GALNAC5
chr1	77746826	77746960	135	*	X003835	26289	77747662	78025654	277993	+	701	upstream	701	AK5
chr1	77747126	77747245	120	*	X003836	26289	77747662	78025654	277993	+	416	upstream	416	AK5
chr1	77747321	77747493	173	*	X003837	26289	77747662	78025654	277993	+	168	upstream	168	AK5
chr1	85358545	85358709	165	*	X003880	23566	85279086	85358896	79811	-	0	inside	186	LPAR3
chr1	85358803	85358979	177	*	X003881	23566	85279086	85358896	79811	-	0	overlapStart	0	LPAR3
chr1	85359085	85359294	210	*	X003882	23566	85279086	85358896	79811	-	188	upstream	188	LPAR3
chr1	85360258	85360377	120	*	X003883	23566	85279086	85358896	79811	-	1361	upstream	1361	LPAR3
chr1	85463200	85463549	350	*	X003886	255231	85391266	85462796	71531	-	403	upstream	403	MCOLN2
chr1	85463955	85464089	135	*	X003887	255231	85391266	85462796	71531	-	1158	upstream	1158	MCOLN2
chr1	85464570	85464704	135	*	X003888	255231	85391266	85462796	71531	-	1773	upstream	1773	MCOLN2
chr1	86622192	86622480	289	*	X003897	255631	86194916	86622446	427531	-	0	overlapStart	0	COL24A1
chr1	89664174	89664397	224	*	X003932	115361	89646831	89664633	17803	-	0	inside	235	GBP4
chr1	91182219	91182563	345	*	X003986	343472	91177579	91182794	5216	-	0	inside	230	BARHL2
chr1	91184334	91184468	135	*	X003987	343472	91177579	91182794	5216	-	1539	upstream	1539	BARHL2
chr1	92954197	92954331	135	*	X004005	2672	92940318	92952433	12116	-	1763	upstream	1763	GFI1
chr1	99469461	99469940	480	*	X004041	100129620	99469832	99614408	144577	+	0	overlapStart	0	LOC100129620
chr1	99470043	99470132	90	*	X004042	100129620	99469832	99614408	144577	+	0	inside	210	LOC100129620
chr1	99728339	99728473	135	*	X004044	9890	99729848	99775138	45291	+	1374	upstream	1374	PLPPR4
chr1	99728489	99728623	135	*	X004045	9890	99729848	99775138	45291	+	1224	upstream	1224	PLPPR4
chr1	99729794	99730168	375	*	X004046	9890	99729848	99775138	45291	+	0	overlapStart	0	PLPPR4
chr1	101001796	101001945	150	*	X004054	54112	101003728	101007583	3856	+	1782	upstream	1782	GPR88
chr1	101002576	101002710	135	*	X004055	54112	101003728	101007583	3856	+	1017	upstream	1017	GPR88
chr1	101003731	101003820	90	*	X004056	54112	101003728	101007583	3856	+	0	inside	2	GPR88
chr1	101700877	101700996	120	*	X004067	1901	101702305	101707076	4772	+	1308	upstream	1308	S1PR1
chr1	101701748	101701927	180	*	X004068	1901	101702305	101707076	4772	+	377	upstream	377	S1PR1
chr1	101702002	101702136	135	*	X004069	1901	101702305	101707076	4772	+	168	upstream	168	S1PR1
chr1	101702182	101702436	255	*	X004070	1901	101702305	101707076	4772	+	0	overlapStart	0	S1PR1
chr1	101702482	101702601	120	*	X004071	1901	101702305	101707076	4772	+	0	inside	176	S1PR1
chr1	107681676	107681736	61	*	X004096	22854	107682629	108024475	341847	+	892	upstream	892	NTNG1
chr1	107682541	107682780	240	*	X004097	22854	107682629	108024475	341847	+	0	overlapStart	0	NTNG1
chr1	108506833	108506952	120	*	X004124	100873946	108507065	108537229	30165	+	112	upstream	112	VAV3-AS1
chr1	108507489	108507536	48	*	X004125	10451	108113782	108507545	393764	-	0	inside	8	VAV3
chr1	108507948	108508257	310	*	X004126	10451	108113782	108507545	393764	-	402	upstream	402	VAV3
chr1	110052693	110053127	435	*	X004170	57463	110049446	110052336	2891	-	356	upstream	356	AMIGO1
chr1	110053269	110053388	120	*	X004171	57463	110049446	110052336	2891	-	932	upstream	932	AMIGO1
chr1	110992851	110992970	120	*	X004182	84432	110993788	110999976	6189	+	817	upstream	817	PROK1
chr1	110993931	110994080	150	*	X004183	84432	110993788	110999976	6189	+	0	inside	142	PROK1
chr1	111063269	111063388	120	*	X004186	3744	111059839	111061797	1959	-	1471	upstream	1471	KCNA10
chr1	111174551	111174700	150	*	X004237	3737	111136202	111174096	37895	-	454	upstream	454	KCNA2
chr1	111174716	111174795	80	*	X004238	3737	111136202	111174096	37895	-	619	upstream	619	KCNA2
chr1	111746966	111747047	82	*	X004279	79961	111728591	111747160	18570	-	0	inside	112	DENND2D
chr1	111747065	111747334	270	*	X004280	79961	111728591	111747160	18570	-	0	overlapStart	0	DENND2D
chr1	111747588	111747707	120	*	X004281	79961	111728591	111747160	18570	-	427	upstream	427	DENND2D
chr1	111934062	111934181	120	*	X004303	441897	111927141	111932473	5333	-	1588	upstream	1588	PGBP
chr1	112531442	112531561	120	*	X004420	643355	112533190	112541463	8274	+	1628	upstream	1628	LINC01750
chr1	112531442	112531561	120	*	X004420	3752	112318454	112531777	213324	-	0	inside	215	KCND3
chr1	112531787	112532134	348	*	X004421	643355	112533190	112541463	8274	+	1055	upstream	1055	LINC01750
chr1	112531787	112532134	348	*	X004421	3752	112318454	112531777	213324	-	9	upstream	9	KCND3
chr1	114696132	114696572	441	*	X004525	148281	114631914	114696472	64559	-	0	overlapStart	0	SYT6
chr1	114696612	114696746	135	*	X004526	148281	114631914	114696472	64559	-	139	upstream	139	SYT6
chr1	115396582	115396806	225	*	X004576	6847	115397455	115537990	140536	+	648	upstream	648	SYCP1
chr1	115397617	115397751	135	*	X004577	6847	115397455	115537990	140536	+	0	inside	161	SYCP1
chr1	116384967	116385101	135	*	X004609	4808	116378999	116383747	4749	-	1219	upstream	1219	NHLH2
chr1	116385636	116385770	135	*	X004610	4808	116378999	116383747	4749	-	1888	upstream	1888	NHLH2
chr1	116915285	116915302	18	*	X004641	476	116915004	116947396	32393	+	0	inside	280	ATP1A1
chr1	118146531	118146650	120	*	X004658	54855	118148604	118171011	22408	+	1953	upstream	1953	TENT5C
chr1	118148871	118149020	150	*	X004659	54855	118148604	118171011	22408	+	0	inside	266	TENT5C
chr1	145412972	145413286	315	*	X004731	148738	145413191	145417545	4355	+	0	overlapStart	0	HJV
chr1	145438056	145438197	142	*	X004732	10628	145438462	145442628	4167	+	264	upstream	264	TXNIP
chr1	145549255	145549336	82	*	X004733	148741	145549209	145568526	19318	+	0	inside	45	ANKRD35
chr1	145549351	145550056	706	*	X004734	148741	145549209	145568526	19318	+	0	inside	141	ANKRD35
chr1	147245415	147245834	420	*	X004815	2702	147228332	147245484	17153	-	0	overlapStart	0	GJA5
chr1	147246435	147246569	135	*	X004816	2702	147228332	147245484	17153	-	950	upstream	950	GJA5
chr1	150229689	150229776	88	*	X004872	23632	150230218	150237480	7263	+	441	upstream	441	CA14
chr1	150230092	150230181	90	*	X004873	23632	150230218	150237480	7263	+	36	upstream	36	CA14
chr1	150230317	150230496	180	*	X004874	23632	150230218	150237480	7263	+	0	inside	98	CA14
chr1	151688594	151688995	402	*	X004876	11189	151672534	151689290	16757	-	0	inside	294	CELF3
chr1	151689287	151689476	190	*	X004877	11189	151672534	151689290	16757	-	0	overlapStart	0	CELF3
chr1	151689570	151689719	150	*	X004878	11189	151672534	151689290	16757	-	279	upstream	279	CELF3
chr1	151691160	151691336	177	*	X004879	11189	151672534	151689290	16757	-	1869	upstream	1869	CELF3
chr1	151777385	151777838	454	*	X004888	339398	151772765	151777882	5118	-	0	inside	43	LINGO4
chr1	151778030	151778039	10	*	X004889	339398	151772765	151777882	5118	-	147	upstream	147	LINGO4
chr1	152061704	152061853	150	*	X004901	126637	152056620	152061540	4921	-	163	upstream	163	TCHHL1
chr1	152062469	152062603	135	*	X004902	126637	152056620	152061540	4921	-	928	upstream	928	TCHHL1
chr1	152388616	152388779	164	*	X004921	49860	152381719	152386750	5032	-	1865	upstream	1865	CRNN
chr1	152691123	152691377	255	*	X004951	100129271	152691998	152692905	908	+	620	upstream	620	C1orf68
chr1	152692023	152692172	150	*	X004952	100129271	152691998	152692905	908	+	0	inside	24	C1orf68
chr1	152730588	152730590	3	*	X004958	448834	152730506	152734529	4024	+	0	inside	81	KPRP
chr1	152757288	152757407	120	*	X004965	353135	152758753	152760901	2149	+	1345	upstream	1345	LCE1E
chr1	152757513	152757538	26	*	X004966	353135	152758753	152760901	2149	+	1214	upstream	1214	LCE1E
chr1	152783528	152783647	120	*	X004968	353132	152784447	152785585	1139	+	799	upstream	799	LCE1B
chr1	152783912	152784046	135	*	X004969	353132	152784447	152785585	1139	+	400	upstream	400	LCE1B
chr1	152798213	152798317	105	*	X004971	353131	152799949	152800573	625	+	1631	upstream	1631	LCE1A
chr1	152798605	152798739	135	*	X004972	353131	152799949	152800573	625	+	1209	upstream	1209	LCE1A
chr1	152799878	152800036	159	*	X004973	353131	152799949	152800573	625	+	0	overlapStart	0	LCE1A
chr1	152813405	152813554	150	*	X004975	448835	152815330	152816459	1130	+	1775	upstream	1775	LCE6A
chr1	152813585	152813704	120	*	X004976	448835	152815330	152816459	1130	+	1625	upstream	1625	LCE6A
chr1	152815048	152815099	52	*	X004977	448835	152815330	152816459	1130	+	230	upstream	230	LCE6A
chr1	152849105	152849224	120	*	X004981	4184	152850798	152857523	6726	+	1573	upstream	1573	SMCP
chr1	152879150	152879314	165	*	X004992	3713	152881039	152884362	3324	+	1724	upstream	1724	IVL
